adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Christian 4 Vej 83, 6000, Kolding",55.4695749,9.4887997,Christian ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,4,False,True,True,tlfmrkhhmh,Christian 4 Vej 83, 6000, Kolding,Christian,4, Vej 83,Christian,4, Vej 83
"Christian 4 Vej 85, 6000, Kolding",55.4684325,9.4883287,Christian ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,4,False,True,False,tlsvvxtpku,Christian 4 Vej 85, 6000, Kolding,Christian,4, Vej 85,Christian,4, Vej 85
"Christian 4 Vej 87, 6000, Kolding",55.4676299,9.4874201,Christian ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,4,False,True,False,tlfgsdiept,Christian 4 Vej 87, 6000, Kolding,Christian,4, Vej 87,Christian,4, Vej 87
"Gråbrødregade 11, 6000, Kolding",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,11,False,True,True,tlvpsbaqey,Gråbrødregade 11, 6000, Kolding,Gråbrødregade,11,,Gråbrødregade,11,
"Gråbrødregade 11, 6000, Kolding",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,11,False,True,True,tlcqdpqehg,Gråbrødregade 11, 6000, Kolding,Gråbrødregade,11,,Gråbrødregade,11,
"Gråbrødregade 15, 6000, Kolding",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,15,False,True,True,tlyxyixrlz,Gråbrødregade 15, 6000, Kolding,Gråbrødregade,15,,Gråbrødregade,15,
"Gråbrødregade 15, 6000, Kolding",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,15,False,True,True,tlrkbekwzh,Gråbrødregade 15, 6000, Kolding,Gråbrødregade,15,,Gråbrødregade,15,
"Haderslevvej 65 01, 6000, Kolding",55.4826835,9.4702447,Haderslevvej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,65,False,True,False,tlwqgiovqy,Haderslevvej 65 01, 6000, Kolding,Haderslevvej,65, 01,Haderslevvej,65, 01
"Haderslevvej 65 ST, 6000, Kolding",55.4826835,9.4702447,Haderslevvej ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,370,False,65,False,True,False,tlkznxqsfa,Haderslevvej 65 ST, 6000, Kolding,Haderslevvej,65, ST,Haderslevvej,65, ST
"Helligkorsgade 12, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,370,False,12,False,True,True,tlwvfiikmy,Helligkorsgade 12, 6000, Kolding,Helligkorsgade,12,,Helligkorsgade,12,
"Helligkorsgade 14, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,14,False,True,True,tlczwbgfez,Helligkorsgade 14, 6000, Kolding,Helligkorsgade,14,,Helligkorsgade,14,
"Helligkorsgade 14, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,14,False,True,True,tlykqtlkrl,Helligkorsgade 14, 6000, Kolding,Helligkorsgade,14,,Helligkorsgade,14,
"Helligkorsgade 17, 6000, Kolding",55.4891531,9.47481,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,17,False,True,True,tlfgeiohma,Helligkorsgade 17, 6000, Kolding,Helligkorsgade,17,,Helligkorsgade,17,
"Helligkorsgade 20 B, 6000, Kolding",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True,tlpdrlnezd,Helligkorsgade 20 B, 6000, Kolding,Helligkorsgade,20, B,Helligkorsgade,20, B
"Helligkorsgade 20 B, 6000, Kolding",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True,tlthauwkon,Helligkorsgade 20 B, 6000, Kolding,Helligkorsgade,20, B,Helligkorsgade,20, B
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True,tlloabsehv,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,22,False,True,True,tlivlxdwtq,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True,tlnfeowktc,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Idyl 21, 6000, Kolding",55.4771507,9.5109088,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,21,False,True,False,tlqrbykgnw,Idyl 21, 6000, Kolding,Idyl,21,,Idyl,21,
"Idyl 23, 6000, Kolding",55.4771271,9.5110417,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,23,False,True,False,tllqvlxavu,Idyl 23, 6000, Kolding,Idyl,23,,Idyl,23,
"Idyl 25, 6000, Kolding",55.47647019999999,9.5140224,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,25,False,True,False,tlkrjpjwcm,Idyl 25, 6000, Kolding,Idyl,25,,Idyl,25,
"Idyl 27, 6000, Kolding",55.4769751,9.5153851,Idyl ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,370,False,27,False,True,False,tlpcibjjks,Idyl 27, 6000, Kolding,Idyl,27,,Idyl,27,
"Idyl 29, 6000, Kolding",55.4751293,9.5148313,Idyl ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,29,False,True,False,tlyteyhthb,Idyl 29, 6000, Kolding,Idyl,29,,Idyl,29,
"Jernbanegade 1 C, 6000, Kolding",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,660,False,1,False,True,False,tlzjpaiwse,Jernbanegade 1 C, 6000, Kolding,Jernbanegade,1, C,Jernbanegade,1, C
"Jernbanegade 1 C, 6000, Kolding",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"400 l .con, rest, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,400,False,1,False,True,False,tldqvyeyna,Jernbanegade 1 C, 6000, Kolding,Jernbanegade,1, C,Jernbanegade,1, C
"Jernbanegade 1 C, 6000, Kolding",55.49026199999999,9.474436,Jernbanegade ,6000,Kolding,1,"240 l. beholder, mad, med lås","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,True,240,False,1,False,True,False,tlybiheumr,Jernbanegade 1 C, 6000, Kolding,Jernbanegade,1, C,Jernbanegade,1, C
"Jernbanegade 1 E, 6000, Kolding",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,1,False,True,True,tlwjyjuoza,Jernbanegade 1 E, 6000, Kolding,Jernbanegade,1, E,Jernbanegade,1, E
"Jernbanegade 1 E, 6000, Kolding",55.4903096,9.474707,Jernbanegade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,1,False,True,True,tleimuqzyn,Jernbanegade 1 E, 6000, Kolding,Jernbanegade,1, E,Jernbanegade,1, E
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,3,False,True,True,tlwoyuozkv,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
"Jernbanegade 3, 6000, Kolding",55.49032889999999,9.4749972,Jernbanegade ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,3,False,True,True,tlmczcymqe,Jernbanegade 3, 6000, Kolding,Jernbanegade,3,,Jernbanegade,3,
