adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Borchs gård 7, 6000, Kolding",55.4894763,9.4726688,Borchs gård ,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,7,True,False,True,mluxelzaqu,Borchs gård 7, 6000, Kolding,Borchs gård,7,,Borchs gård,7,
"Borchs gård 7, 6000, Kolding",55.4894763,9.4726688,Borchs gård ,6000,Kolding,3,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,7,True,False,True,mlmiqefvpi,Borchs gård 7, 6000, Kolding,Borchs gård,7,,Borchs gård,7,
"Borchs gård 39, 6000, Kolding",55.4895317,9.4735763,Borchs gård ,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,39,True,False,True,mlkpfgydfh,Borchs gård 39, 6000, Kolding,Borchs gård,39,,Borchs gård,39,
"Borchs gård 39, 6000, Kolding",55.4895317,9.4735763,Borchs gård ,6000,Kolding,5,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,39,True,False,True,mlyzkaarxs,Borchs gård 39, 6000, Kolding,Borchs gård,39,,Borchs gård,39,
"Fjordvej 105, 6000, Kolding",55.4988845,9.5301631,Fjordvej ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,105,True,False,True,mlchmldmff,Fjordvej 105, 6000, Kolding,Fjordvej,105,,Fjordvej,105,
"Fredens Vej 2, 6000, Kolding",55.4975361,9.4878982,Fredens Vej ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,2,True,False,True,mlnkwcwumm,Fredens Vej 2, 6000, Kolding,Fredens Vej,2,,Fredens Vej,2,
"Gl. Strandvej 17, 6000, Kolding",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,True,False,True,mlelsydntp,Gl. Strandvej 17, 6000, Kolding,Gl. Strandvej,17,,Gl. Strandvej,17,
"Gl. Strandvej 17, 6000, Kolding",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,17,True,False,True,mlnroqsiuj,Gl. Strandvej 17, 6000, Kolding,Gl. Strandvej,17,,Gl. Strandvej,17,
"Gl. Strandvej 17, 6000, Kolding",55.4995841,9.509644,Gl. Strandvej ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,17,True,False,True,mlfnxyfntf,Gl. Strandvej 17, 6000, Kolding,Gl. Strandvej,17,,Gl. Strandvej,17,
"Gramrolighed 1, 6000, Kolding",55.495736,9.4765263,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,1,True,False,False,mlguxohrnz,Gramrolighed 1, 6000, Kolding,Gramrolighed,1,,Gramrolighed,1,
"Gramrolighed 2, 6000, Kolding",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,2,True,False,True,mljwilssqe,Gramrolighed 2, 6000, Kolding,Gramrolighed,2,,Gramrolighed,2,
"Gramrolighed 2, 6000, Kolding",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,660,False,2,True,False,True,mldgihrftw,Gramrolighed 2, 6000, Kolding,Gramrolighed,2,,Gramrolighed,2,
"Gramrolighed 2, 6000, Kolding",55.4958448,9.4769172,Gramrolighed ,6000,Kolding,1,"400 l. con, mad - sætte frem","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,2,True,False,True,mlzntfiths,Gramrolighed 2, 6000, Kolding,Gramrolighed,2,,Gramrolighed,2,
"Gramrolighed 3, 6000, Kolding",55.495821,9.4765566,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,3,True,False,False,mlidiygciu,Gramrolighed 3, 6000, Kolding,Gramrolighed,3,,Gramrolighed,3,
"Gramrolighed 5, 6000, Kolding",55.495906,9.476587,Gramrolighed ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,130,True,5,True,False,False,mlvaczchlm,Gramrolighed 5, 6000, Kolding,Gramrolighed,5,,Gramrolighed,5,
"Gramrolighed 5, 6000, Kolding",55.495906,9.476587,Gramrolighed ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,90,True,5,True,False,False,mltqzcsdow,Gramrolighed 5, 6000, Kolding,Gramrolighed,5,,Gramrolighed,5,
"Gramrolighed 7, 6000, Kolding",55.49599569999999,9.4765569,Gramrolighed ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,370,False,7,True,False,False,mlrvohjyuq,Gramrolighed 7, 6000, Kolding,Gramrolighed,7,,Gramrolighed,7,
"Gramrolighed 9, 6000, Kolding",55.49609719999999,9.4765155,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,9,True,False,False,mlkqvhxsdr,Gramrolighed 9, 6000, Kolding,Gramrolighed,9,,Gramrolighed,9,
"Gramrolighed 11, 6000, Kolding",55.4961207,9.4764983,Gramrolighed ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,130,True,11,True,False,False,mlmfwtdjzu,Gramrolighed 11, 6000, Kolding,Gramrolighed,11,,Gramrolighed,11,
"Gramrolighed 11, 6000, Kolding",55.4961207,9.4764983,Gramrolighed ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,90,True,11,True,False,False,mltgcfvaqg,Gramrolighed 11, 6000, Kolding,Gramrolighed,11,,Gramrolighed,11,
"Gramrolighed 13, 6000, Kolding",55.4961496,9.4764887,Gramrolighed ,6000,Kolding,1,"130 l. sæk, resta - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,130,True,13,True,False,False,mlmzprfdcg,Gramrolighed 13, 6000, Kolding,Gramrolighed,13,,Gramrolighed,13,
"Gramrolighed 13, 6000, Kolding",55.4961496,9.4764887,Gramrolighed ,6000,Kolding,1,"90 l. sæk, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,90,True,13,True,False,False,mllpvwvzjt,Gramrolighed 13, 6000, Kolding,Gramrolighed,13,,Gramrolighed,13,
"Gramrolighed 14, 6000, Kolding",55.4960619,9.4768293,Gramrolighed ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,14,True,False,False,mlxieamtkz,Gramrolighed 14, 6000, Kolding,Gramrolighed,14,,Gramrolighed,14,
"Grønnegade 3, 6000, Kolding",55.4870297,9.4695443,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,3,True,False,False,mlbypbjfht,Grønnegade 3, 6000, Kolding,Grønnegade,3,,Grønnegade,3,
"Grønnegade 3, 6000, Kolding",55.4870297,9.4695443,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,3,True,False,False,mleejcyhsj,Grønnegade 3, 6000, Kolding,Grønnegade,3,,Grønnegade,3,
"Grønnegade 5, 6000, Kolding",55.4870698,9.4695898,Grønnegade ,6000,Kolding,1,"240 l. beholder, mad, med lås","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,True,240,False,5,True,False,False,mldebufgij,Grønnegade 5, 6000, Kolding,Grønnegade,5,,Grønnegade,5,
"Grønnegade 5, 6000, Kolding",55.4870698,9.4695898,Grønnegade ,6000,Kolding,1,"660 l. con, rest, med lås","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,True,660,False,5,True,False,False,mlgsifwygq,Grønnegade 5, 6000, Kolding,Grønnegade,5,,Grønnegade,5,
"Grønnegade 7, 6000, Kolding",55.48710999999999,9.4696352,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,7,True,False,False,mlaktubxus,Grønnegade 7, 6000, Kolding,Grønnegade,7,,Grønnegade,7,
"Grønnegade 7, 6000, Kolding",55.48710999999999,9.4696352,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,7,True,False,False,mlypwizmhl,Grønnegade 7, 6000, Kolding,Grønnegade,7,,Grønnegade,7,
"Grønnegade 9, 6000, Kolding",55.4871784,9.4697373,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,9,True,False,False,mlkrzxivnc,Grønnegade 9, 6000, Kolding,Grønnegade,9,,Grønnegade,9,
"Grønnegade 9, 6000, Kolding",55.4871784,9.4697373,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,9,True,False,False,mlecercrjv,Grønnegade 9, 6000, Kolding,Grønnegade,9,,Grønnegade,9,
"Grønnegade 9, 6000, Kolding",55.4871784,9.4697373,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,9,True,False,False,mlsmykxhjp,Grønnegade 9, 6000, Kolding,Grønnegade,9,,Grønnegade,9,
"Grønnegade 9, 6000, Kolding",55.4871784,9.4697373,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,9,True,False,False,mlxmtoafkr,Grønnegade 9, 6000, Kolding,Grønnegade,9,,Grønnegade,9,
"Grønnegade 11, 6000, Kolding",55.4872587,9.4698282,Grønnegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,660,False,11,True,False,False,mlxmphwwxb,Grønnegade 11, 6000, Kolding,Grønnegade,11,,Grønnegade,11,
"Grønnegade 11, 6000, Kolding",55.4872587,9.4698282,Grønnegade ,6000,Kolding,1,"240 l. beh, mad - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,11,True,False,False,mlhatsbjja,Grønnegade 11, 6000, Kolding,Grønnegade,11,,Grønnegade,11,
"Grønnegade 11, 6000, Kolding",55.4872587,9.4698282,Grønnegade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,400,False,11,True,False,False,mlcghiyzmt,Grønnegade 11, 6000, Kolding,Grønnegade,11,,Grønnegade,11,
"Grønnegade 13, 6000, Kolding",55.4873296,9.4699001,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,13,True,False,False,mllqxwpowq,Grønnegade 13, 6000, Kolding,Grønnegade,13,,Grønnegade,13,
"Grønnegade 13, 6000, Kolding",55.4873296,9.4699001,Grønnegade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,13,True,False,False,mlppjgtkyp,Grønnegade 13, 6000, Kolding,Grønnegade,13,,Grønnegade,13,
"Grønnegade 15, 6000, Kolding",55.487368,9.469876,Grønnegade ,6000,Kolding,1,"660 l. con, rest - sætte frem","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,660,False,15,True,False,False,mlactmgbhn,Grønnegade 15, 6000, Kolding,Grønnegade,15,,Grønnegade,15,
