adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
Bakketoppen 10 A,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Bakketoppen,10, A,240,False,False,False,889cacb9-579f-4b59-9002-4cab114276ee,False
Bakketoppen 10 A,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",True,True,False,False,2,1,Bakketoppen,10, A,400,False,False,False,09cf050b-cc66-4dec-9baa-3b2adff78260,False
Binderupvej 6,6091,Bjert,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Binderupvej,6,,370,False,False,False,b004f133-4cee-4910-b506-552bae8f2157,False
Bjerggade 6,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,6,,240,True,False,False,ca5da066-c051-4696-8427-1a671049d99b,False
Bjerggade 8,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,8,,240,True,False,False,cd2b5571-7748-48b9-81e7-92a8177d860a,False
Bjerggade 10,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,10,,240,True,False,False,96a507ca-ac8f-40e7-8180-9fba0c93d86f,False
Bjerggade 12,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,12,,240,True,False,False,3aff288c-4028-45ba-9dda-0ab0cf5b75fb,False
Bjerggade 14,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,14,,370,True,False,False,eacce405-f8b7-4027-9af3-3771001ac312,False
Bjerggade 16,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,16,,240,False,False,False,f1e785d5-95e7-4e43-b505-95ec0925c6ff,False
Bjerggade 18,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,False,False,1,1,Bjerggade,18,,240,False,False,False,9fca0190-dbbd-43ec-8791-bc85e64c4a54,False
